01-21-2021--14:45:55 | 10664343 | 500 | pepe | 50 | 94538 | 2000 | 50 | 20 | 1 | 0
01-21-2021--14:46:49 | 10664344 | 500 | pepe | 51 | 35189 | 2000 | 50 | 20 | 2 | 0
01-21-2021--14:47:12 | 10664345 | 500 | pepe | 52 | 85768 | 2000 | 50 | 100 | 0 | 0
01-21-2021--14:47:49 | 10664346 | 500 | pepe | 53 | 42885 | 2000 | 50 | 100 | 1 | 0
01-21-2021--14:48:21 | 10664347 | 500 | pepe | 54 | 94156 | 2000 | 50 | 100 | 2 | 0
01-21-2021--14:49:04 | 10664348 | 500 | gray | 1 | 68180 | 500 | 20 | 5 | 0 | 0
01-21-2021--14:49:36 | 10664349 | 500 | gray | 2 | 57782 | 500 | 20 | 5 | 1 | 0
01-21-2021--14:50:18 | 10664350 | 500 | gray | 3 | 80662 | 500 | 20 | 5 | 2 | 0
01-21-2021--14:50:51 | 10664351 | 500 | gray | 4 | 61071 | 500 | 20 | 20 | 0 | 0
01-21-2021--14:51:34 | 10664352 | 500 | gray | 5 | 5044 | 500 | 20 | 20 | 1 | 0
01-21-2021--14:52:06 | 10664353 | 500 | gray | 6 | 51846 | 500 | 20 | 20 | 2 | 0
01-21-2021--14:52:38 | 10664354 | 500 | gray | 7 | 9707 | 500 | 20 | 100 | 0 | 0
01-21-2021--14:53:29 | 10664355 | 500 | gray | 8 | 62344 | 500 | 20 | 100 | 1 | 0
01-21-2021--15:41:40 | 10664356 | 500 | gray | 9 | 13345 | 500 | 20 | 100 | 2 | 0
01-21-2021--16:06:41 | 10664357 | 500 | gray | 10 | 47098 | 500 | 50 | 5 | 0 | 0
01-21-2021--16:10:33 | 10664358 | 500 | gray | 11 | 46651 | 500 | 50 | 5 | 1 | 0
01-21-2021--16:13:41 | 10664359 | 500 | gray | 12 | 26532 | 500 | 50 | 5 | 2 | 0
01-21-2021--16:17:16 | 10664360 | 500 | gray | 13 | 39614 | 500 | 50 | 20 | 0 | 0
01-21-2021--16:19:30 | 10664361 | 500 | gray | 14 | 95605 | 500 | 50 | 20 | 1 | 0
01-21-2021--16:21:46 | 10664362 | 500 | gray | 15 | 78145 | 500 | 50 | 20 | 2 | 0
01-21-2021--16:24:00 | 10664363 | 500 | gray | 16 | 8577 | 500 | 50 | 100 | 0 | 0
01-21-2021--16:33:26 | 10664364 | 500 | gray | 17 | 2085 | 500 | 50 | 100 | 1 | 0
01-21-2021--16:51:34 | 10664365 | 500 | gray | 18 | 79799 | 500 | 50 | 100 | 2 | 0
01-21-2021--17:09:58 | 10664366 | 500 | gray | 19 | 96515 | 1000 | 20 | 5 | 0 | 0
01-21-2021--17:15:04 | 10664367 | 500 | gray | 20 | 28983 | 1000 | 20 | 5 | 1 | 0
01-21-2021--17:19:07 | 10664368 | 500 | gray | 21 | 42641 | 1000 | 20 | 5 | 2 | 0
01-21-2021--17:24:48 | 10664369 | 500 | gray | 22 | 54353 | 1000 | 20 | 20 | 0 | 0
01-21-2021--17:30:48 | 10664370 | 500 | gray | 23 | 92858 | 1000 | 20 | 20 | 1 | 0
01-21-2021--17:37:20 | 10664371 | 500 | gray | 24 | 31917 | 1000 | 20 | 20 | 2 | 0
01-21-2021--17:43:31 | 10664372 | 500 | gray | 25 | 32333 | 1000 | 20 | 100 | 0 | 0
01-21-2021--17:49:40 | 10664373 | 500 | gray | 26 | 17008 | 1000 | 20 | 100 | 1 | 0
01-21-2021--17:54:15 | 10664374 | 500 | gray | 27 | 42473 | 1000 | 20 | 100 | 2 | 0
01-21-2021--17:58:32 | 10664375 | 500 | gray | 28 | 17833 | 1000 | 50 | 5 | 0 | 0
01-21-2021--18:02:47 | 10664376 | 500 | gray | 29 | 61116 | 1000 | 50 | 5 | 1 | 0
01-21-2021--18:06:57 | 10664377 | 500 | gray | 30 | 49501 | 1000 | 50 | 5 | 2 | 0
01-21-2021--18:11:30 | 10664378 | 500 | gray | 31 | 64131 | 1000 | 50 | 20 | 0 | 0
01-21-2021--18:15:46 | 10664379 | 500 | gray | 32 | 23553 | 1000 | 50 | 20 | 1 | 0
01-21-2021--18:19:57 | 10664380 | 500 | gray | 33 | 32442 | 1000 | 50 | 20 | 2 | 0
01-21-2021--18:24:38 | 10664381 | 500 | gray | 34 | 66337 | 1000 | 50 | 100 | 0 | 0
01-21-2021--18:29:10 | 10664382 | 500 | gray | 35 | 29228 | 1000 | 50 | 100 | 1 | 0
01-21-2021--18:35:06 | 10664383 | 500 | gray | 36 | 43233 | 1000 | 50 | 100 | 2 | 0
01-21-2021--18:38:20 | 10664384 | 500 | gray | 37 | 91227 | 2000 | 20 | 5 | 0 | 0
01-21-2021--18:56:37 | 10664385 | 500 | gray | 38 | 87214 | 2000 | 20 | 5 | 1 | 0
01-21-2021--19:14:52 | 10664386 | 500 | gray | 39 | 2661 | 2000 | 20 | 5 | 2 | 0
01-21-2021--19:31:22 | 10664387 | 500 | gray | 40 | 73038 | 2000 | 20 | 20 | 0 | 0
01-21-2021--19:45:44 | 10664388 | 500 | gray | 41 | 84152 | 2000 | 20 | 20 | 1 | 0
01-21-2021--19:56:47 | 10664389 | 500 | gray | 42 | 78462 | 2000 | 20 | 20 | 2 | 0
01-21-2021--20:08:43 | 10664390 | 500 | gray | 43 | 93258 | 2000 | 20 | 100 | 0 | 0
01-21-2021--20:21:15 | 10664391 | 500 | gray | 44 | 22761 | 2000 | 20 | 100 | 1 | 0
01-21-2021--20:34:37 | 10664392 | 500 | gray | 45 | 38555 | 2000 | 20 | 100 | 2 | 0
01-21-2021--20:44:48 | 10664393 | 500 | gray | 46 | 18840 | 2000 | 50 | 5 | 0 | 0
01-21-2021--20:57:19 | 10664394 | 500 | gray | 47 | 81808 | 2000 | 50 | 5 | 1 | 0
01-21-2021--21:16:07 | 10664395 | 500 | gray | 48 | 50994 | 2000 | 50 | 5 | 2 | 0
01-21-2021--21:42:12 | 10664396 | 500 | gray | 49 | 98073 | 2000 | 50 | 20 | 0 | 0
01-21-2021--22:19:35 | 10664397 | 500 | gray | 50 | 94538 | 2000 | 50 | 20 | 1 | 0
01-21-2021--23:14:05 | 10664398 | 500 | gray | 51 | 35189 | 2000 | 50 | 20 | 2 | 0
01-22-2021--00:10:55 | 10664399 | 500 | gray | 52 | 85768 | 2000 | 50 | 100 | 0 | 0
01-22-2021--00:47:03 | 10664400 | 500 | gray | 53 | 42885 | 2000 | 50 | 100 | 1 | 0
01-22-2021--01:20:19 | 10664401 | 500 | gray | 54 | 94156 | 2000 | 50 | 100 | 2 | 0
